Date_of_visit,P.E.I.,N.S.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
18-Apr,-28.81%,-41.23%,-48.17%,-51.70%,-41.29%,-36.82%,-48.22%,-37.86%,-44.04%,-48.05%
19-Apr,-17.54%,-42.93%,-47.59%,-52.49%,-41.66%,-45.57%,-44.54%,-43.60%,-57.14%,-48.41%
20-Apr,-35.09%,-39.34%,-32.82%,-41.59%,-30.28%,-37.16%,-40.32%,-34.34%,-17.57%,-38.10%
21-Apr,-30.99%,-38.40%,-38.42%,-45.35%,-40.56%,-33.86%,-39.86%,-38.33%,-35.16%,-41.48%
22-Apr,-45.24%,-46.78%,-48.94%,-50.13%,-37.03%,-40.51%,-46.95%,-40.61%,-28.57%,-47.67%
23-Apr,-41.67%,-35.44%,-50.35%,-47.78%,-33.08%,-38.96%,-46.50%,-36.84%,-28.57%,-46.29%
24-Apr,-27.54%,-43.28%,-43.85%,-44.01%,-23.86%,-32.29%,-39.70%,-31.39%,-45.95%,-41.28%
25-Apr,-26.98%,-40.30%,-47.50%,-46.97%,-32.84%,-24.32%,-39.20%,-33.05%,-53.15%,-43.57%
26-Apr,-28.57%,-34.95%,-46.33%,-48.21%,-32.00%,-27.94%,-43.84%,-34.91%,-42.31%,-44.54%
27-Apr,-25.40%,-24.71%,-28.88%,-31.76%,-24.11%,-18.91%,-31.34%,-27.10%,-25.81%,-29.83%
28-Apr,-38.10%,-35.33%,-32.18%,-38.13%,-30.81%,-26.56%,-37.42%,-31.04%,-31.62%,-35.29%
29-Apr,-13.11%,-35.21%,-44.72%,-45.01%,-36.31%,-29.81%,-40.76%,-33.53%,-34.86%,-42.28%
30-Apr,-9.26%,-32.61%,-40.66%,-38.27%,-20.25%,-25.80%,-35.47%,-29.61%,-45.83%,-36.69%
01-May,-9.68%,-21.09%,-36.60%,-35.00%,-23.07%,-23.11%,-36.63%,-26.85%,-30.36%,-33.90%
02-May,-41.27%,-23.22%,-42.31%,-41.15%,-29.62%,-27.60%,-33.96%,-32.94%,-41.44%,-38.51%
03-May,0.00%,-29.47%,-43.18%,-40.71%,-23.83%,-24.91%,-38.58%,-32.07%,-47.46%,-39.09%
04-May,-8.93%,-11.92%,-25.94%,-26.23%,-21.71%,-23.52%,-29.98%,-24.64%,-8.60%,-26.05%
05-May,-17.46%,-21.36%,-32.93%,-34.75%,-22.25%,-27.33%,-35.05%,-29.70%,-36.59%,-33.04%
06-May,-35.48%,-25.37%,-43.91%,-42.17%,-30.30%,-36.25%,-41.52%,-31.68%,-39.33%,-40.69%
07-May,-23.81%,-22.12%,-41.84%,-37.57%,-25.06%,-35.14%,-37.75%,-26.08%,-48.12%,-36.85%
08-May,-47.89%,-20.23%,-38.39%,-37.13%,-19.24%,-32.19%,-34.74%,-24.80%,-34.11%,-34.91%
09-May,-43.10%,-22.60%,-43.13%,-42.73%,-28.08%,-34.15%,-37.93%,-29.02%,-29.46%,-39.60%
10-May,-42.03%,-30.69%,-45.83%,-45.96%,-31.35%,-35.01%,-43.16%,-29.63%,-33.33%,-42.76%
11-May,-26.67%,-7.58%,-24.44%,-27.07%,-13.62%,-26.80%,-32.29%,-17.06%,-21.43%,-25.43%
12-May,-7.55%,-15.55%,-31.05%,-30.73%,-25.98%,-26.91%,-33.78%,-22.90%,-39.22%,-29.88%
13-May,0.00%,-31.01%,-42.77%,-39.77%,-27.32%,-37.49%,-41.32%,-30.47%,-31.53%,-39.21%
14-May,-36.84%,-20.72%,-36.22%,-35.51%,-28.16%,-31.78%,-35.82%,-22.03%,-27.03%,-33.74%
15-May,-21.62%,-22.10%,-36.39%,-32.93%,-15.65%,-17.51%,-32.27%,-18.86%,-22.95%,-31.27%
16-May,-7.69%,-22.95%,-38.86%,-36.33%,-25.06%,-19.13%,-28.20%,-27.43%,-30.25%,-33.81%
17-May,-11.86%,-12.90%,-40.01%,-34.88%,-19.60%,-24.48%,-23.09%,-21.18%,-40.35%,-31.95%
18-May,-1.54%,-4.42%,-24.10%,-32.09%,-10.00%,-12.00%,-22.00%,-18.43%,-5.66%,-25.50%
19-May,-15.38%,-12.88%,-25.23%,-24.32%,-6.41%,-23.42%,-25.37%,-20.13%,-19.13%,-23.56%
20-May,-17.39%,-21.80%,-34.06%,-33.92%,-18.53%,-34.34%,-35.78%,-23.87%,-9.26%,-32.51%
21-May,-6.67%,-17.73%,-37.58%,-36.59%,-17.45%,-29.49%,-38.52%,-30.30%,-31.34%,-35.50%
22-May,3.51%,-16.15%,-30.80%,-28.28%,-17.35%,-15.54%,-33.40%,-19.15%,-43.80%,-27.99%
23-May,-16.42%,-24.07%,-36.48%,-32.34%,-17.70%,-20.46%,-30.10%,-27.07%,-16.98%,-31.60%
24-May,-40.00%,-25.21%,-35.03%,-30.54%,-15.84%,-22.58%,-29.38%,-26.13%,-42.31%,-30.44%
25-May,-1.79%,-0.79%,-11.69%,-7.91%,-8.73%,-10.30%,-19.94%,-12.61%,-28.95%,-11.22%
26-May,-18.18%,-13.33%,-26.05%,-21.02%,-0.37%,-23.13%,-26.90%,-22.96%,1.11%,-22.79%
27-May,-28.77%,-25.73%,-35.08%,-31.86%,-16.51%,-23.62%,-33.80%,-26.20%,-41.22%,-31.73%
28-May,-3.57%,-16.19%,-27.87%,-24.12%,-19.49%,-24.30%,-29.64%,-18.88%,-20.93%,-25.02%
29-May,-25.35%,-6.67%,-24.17%,-23.85%,-17.42%,-16.34%,-27.70%,-15.14%,-20.37%,-22.93%
30-May,14.29%,-13.38%,-33.26%,-27.16%,-27.11%,-19.83%,-23.93%,-22.42%,-31.15%,-27.17%
31-May,-42.25%,-11.01%,-31.29%,-29.41%,-17.55%,-23.42%,-28.20%,-23.57%,-35.54%,-28.31%
01-Jun,-43.28%,-6.36%,-10.52%,-10.99%,-12.14%,-17.77%,-23.09%,-16.81%,-24.55%,-13.74%
02-Jun,-33.80%,-10.33%,-17.87%,-19.50%,-6.98%,-14.62%,-26.36%,-22.58%,-5.38%,-20.05%
03-Jun,-8.96%,-27.83%,-29.65%,-28.59%,-21.23%,-13.35%,-33.52%,-25.74%,6.12%,-28.71%
04-Jun,-7.25%,-16.13%,-25.91%,-20.49%,-18.19%,-17.69%,-28.78%,-18.65%,-30.63%,-22.70%
05-Jun,-28.00%,-13.32%,-22.87%,-18.85%,-3.98%,-20.92%,-25.25%,-19.48%,1.80%,-20.50%
06-Jun,-22.73%,-7.95%,-28.66%,-26.21%,-21.50%,-23.04%,-25.32%,-18.74%,-20.91%,-25.30%
07-Jun,-8.33%,-4.05%,-28.61%,-24.13%,-19.23%,-18.14%,-28.04%,-15.97%,-26.85%,-24.29%
08-Jun,-34.67%,-1.15%,-5.86%,-9.01%,-2.47%,-18.74%,-19.50%,-11.02%,1.03%,-10.12%
09-Jun,-30.88%,-15.67%,-20.02%,-20.54%,-17.76%,-11.41%,-22.55%,-22.84%,4.81%,-20.58%
10-Jun,-31.65%,-17.19%,-34.40%,-27.50%,-21.14%,-17.62%,-29.54%,-20.53%,-26.09%,-28.26%
11-Jun,-20.00%,-19.24%,-24.76%,-23.93%,-10.82%,-11.66%,-25.62%,-17.36%,-18.85%,-23.02%
12-Jun,-1.54%,-19.29%,-24.89%,-22.08%,-4.33%,-18.91%,-19.52%,-17.81%,-40.14%,-21.44%
13-Jun,36.73%,-17.76%,-32.19%,-24.20%,-12.08%,-1.62%,-23.70%,-18.99%,-23.36%,-24.56%
14-Jun,-34.33%,-15.01%,-29.56%,-25.58%,-3.91%,-11.23%,-23.48%,-20.29%,-41.18%,-24.72%
15-Jun,-5.56%,4.86%,-2.61%,-6.86%,0.57%,-2.70%,-17.76%,-12.94%,-22.31%,-7.95%
16-Jun,5.36%,-12.93%,-13.06%,-13.57%,-5.25%,-13.87%,-23.90%,-16.28%,-10.81%,-15.21%
17-Jun,-8.20%,-24.29%,-28.28%,-25.60%,-12.88%,-17.75%,-32.42%,-21.53%,-40.54%,-26.42%
18-Jun,-28.17%,-13.95%,-20.01%,-19.36%,-5.05%,-6.25%,-24.22%,-16.18%,-22.40%,-19.28%
19-Jun,-17.86%,-9.18%,-19.65%,-18.95%,-5.56%,-9.36%,-19.50%,-11.25%,-13.01%,-17.67%
20-Jun,-28.81%,-11.85%,-25.31%,-21.80%,-11.64%,-10.36%,-16.71%,-14.69%,-25.40%,-20.46%
21-Jun,-11.11%,-2.83%,-26.30%,-22.96%,-8.66%,-10.08%,-20.63%,-12.71%,-26.83%,-21.38%
22-Jun,0.00%,15.30%,-2.35%,2.18%,4.31%,-0.11%,-7.42%,-3.80%,-35.56%,-0.97%
23-Jun,-15.87%,-4.95%,-12.69%,-12.35%,-5.84%,-11.83%,-19.05%,-14.88%,-21.71%,-13.49%
24-Jun,-13.04%,-9.49%,-21.20%,-23.06%,-12.70%,-13.32%,-26.00%,-15.72%,-20.14%,-21.56%
25-Jun,-35.71%,-7.21%,-19.18%,-15.90%,-6.53%,-3.26%,-21.46%,-10.07%,-15.70%,-16.40%
26-Jun,-13.16%,-4.74%,-18.03%,-12.31%,-5.80%,-8.61%,-17.21%,-8.31%,-19.38%,-13.70%
27-Jun,-14.75%,-6.91%,-21.26%,-18.03%,-4.86%,-14.04%,-20.40%,-11.87%,-20.54%,-17.95%
28-Jun,-14.29%,0.93%,-22.37%,-19.78%,-4.08%,-12.39%,-22.86%,-8.35%,-41.67%,-18.85%
29-Jun,-4.23%,14.85%,-3.54%,-4.58%,14.57%,-5.18%,-17.55%,-3.76%,-5.93%,-5.54%
30-Jun,-32.89%,-3.45%,-11.15%,-14.57%,-9.88%,-14.45%,-24.73%,-15.18%,-3.05%,-15.12%
