Province/territory,March,April,May,June
P.E.I.,74,60,66,82
N.S.,79,48,71,85
Que.,75,53,65,77
Ont.,53,34,45,51
Man.,69,39,60,73
Sask.,40,29,37,44
Alta.,53,39,50,57
B.C.,47,33,44,49
Y.T.,41,27,35,40
