Province/territory,March,April,May,June
P.E.I.,173,106,161,229
N.S.,92,81,82,98
Que.,184,153,194,214
Ont.,138,105,126,137
Man.,141,116,116,120
Sask.,103,67,72,84
Alta.,90,84,94,101
B.C.,223,134,164,195
Y.T.,149,113,119,127
