Date_of_visit,P.E.I.,N.S.,Que.,Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,Total
2019-04-06,65,762,9079,16480,836,888,6273,4393,95,38871
2019-04-07,67,791,9532,17182,864,1010,6239,4682,90,40457
2019-04-08,74,786,10967,19220,937,1012,6838,4748,116,44698
2019-04-09,69,736,10409,17783,918,962,6555,4524,108,42064
2019-04-10,63,774,10460,17439,860,921,6312,4430,106,41365
2019-04-11,67,821,10190,16827,861,895,6212,4232,92,40197
2019-04-12,75,784,10535,17546,871,961,6372,4472,105,41721
2019-04-13,63,772,9273,16775,860,967,6152,4363,102,39327
2019-04-14,65,769,9488,16433,869,998,6442,4565,98,39727
2019-04-15,67,891,11426,18664,862,967,6930,4867,128,44802
2019-04-16,61,804,10599,17453,931,949,6388,4447,136,41768
2019-04-17,58,705,10419,17564,882,912,6332,4441,112,41425
2019-04-18,59,781,10253,17680,896,850,6493,4340,109,41461
2019-04-19,57,736,9598,16762,941,1049,6278,4516,91,40028
2019-04-20,57,788,9052,16825,905,985,6557,4455,74,39698
2019-04-21,71,776,9199,16680,932,942,6174,4709,91,39574
2019-04-22,84,855,10941,18543,956,990,6952,4844,105,44270
2019-04-23,72,793,11328,18222,925,996,6740,4677,105,43858
2019-04-24,69,818,10505,17883,809,892,6305,4552,111,41944
2019-04-25,63,804,10468,17716,874,810,6127,4457,111,41430
2019-04-26,63,761,10240,17264,878,866,6430,4506,104,41112
2019-04-27,63,692,9115,16027,846,878,5833,4469,93,38016
2019-04-28,63,753,9383,16799,899,900,6048,4552,117,39514
2019-04-29,61,818,11112,18324,906,889,6632,4835,109,43686
2019-04-30,54,785,10157,17173,884,907,6118,4543,120,40741
2019-05-01,62,716,9909,16932,906,848,6148,4570,112,40203
2019-05-02,63,758,9944,17260,888,924,6270,4657,111,40875
2019-05-03,51,767,10007,17262,873,875,6303,4527,118,40783
2019-05-04,56,713,9188,16152,912,944,5957,4460,93,38475
2019-05-05,63,777,9437,17077,899,922,6254,4781,123,40333
2019-05-06,62,812,11464,19020,944,971,6794,4814,150,45031
2019-05-07,63,782,10754,17630,870,885,6374,4567,133,42058
2019-05-08,71,786,10253,17303,894,935,6321,4513,129,41205
2019-05-09,58,730,10085,17190,901,940,6367,4694,129,41094
2019-05-10,69,782,10103,17050,906,854,6476,4623,117,40980
2019-05-11,75,739,9071,16222,778,873,6213,4653,112,38736
2019-05-12,53,746,9211,16068,839,892,6400,4686,102,38997
2019-05-13,58,903,11461,18690,904,971,7069,4932,111,45099
2019-05-14,76,777,10315,17531,870,922,6645,4553,111,41800
2019-05-15,74,792,10397,17320,818,845,6420,4421,122,41209
2019-05-16,52,767,10153,17290,894,873,6189,4554,119,40891
2019-05-17,59,752,10373,17410,908,919,6151,4386,114,41072
2019-05-18,65,724,9145,16527,850,900,6014,4356,106,38687
2019-05-19,65,815,9699,17319,873,995,6536,4760,115,41177
2019-05-20,69,844,10564,18501,928,1025,6823,4718,108,43580
2019-05-21,60,863,11180,19530,911,997,6871,4884,134,45430
2019-05-22,57,842,10376,18007,905,914,6620,4486,137,42344
2019-05-23,67,860,10214,17782,915,909,6406,4696,106,41955
2019-05-24,65,829,10139,17641,846,930,6304,4607,130,41491
2019-05-25,56,757,8994,16163,893,913,6054,4281,114,38225
2019-05-26,66,795,9764,17311,810,951,6339,4709,90,40835
2019-05-27,73,929,11191,19608,957,961,6890,4985,131,45725
2019-05-28,56,846,10360,17909,898,963,6468,4609,129,42238
2019-05-29,71,839,10178,17737,884,924,6517,4518,108,41776
2019-05-30,49,770,10120,17371,948,923,6332,4616,122,41251
2019-05-31,71,772,9707,17514,832,952,6483,4684,121,41136
2019-06-01,67,786,8685,16444,931,979,6332,4664,110,38998
2019-06-02,71,784,9192,17353,874,944,6608,4822,93,40741
