Province/territory,March,April,May,June
P.E.I.,114,108,92,116
N.S.,105,87,93,93
Que.,108,108,104,97
Ont.,75,74,72,74
Man.,69,65,60,112
Sask.,63,65,64,119
Alta.,73,72,72,70
B.C.,82,72,73,71
Y.T.,36,36,39,39
